iter	MultiClass
315	0.7106247172
316	0.709804128
317	0.7094715383
318	0.7085006916
319	0.7082401353
320	0.7078346316
321	0.7073619966
322	0.7071647365
323	0.7064224222
324	0.7061481838
325	0.7058185622
326	0.7053783122
327	0.705099535
328	0.7045731453
329	0.7042780361
330	0.704008927
331	0.7036182613
332	0.7031284093
333	0.7028502772
334	0.7019475323
335	0.7016733532
336	0.7010319178
337	0.7005570658
338	0.7001596853
339	0.7000420909
340	0.6996977769
341	0.6995259881
342	0.698608698
343	0.6980965656
344	0.6979487931
345	0.6977247041
346	0.697330361
347	0.6971507876
348	0.6967488766
349	0.6959500997
350	0.6956715202
351	0.695300993
352	0.6950539985
353	0.694614874
354	0.6942115189
355	0.6939945866
356	0.6938488605
357	0.6935975584
358	0.6932947282
359	0.6928775046
360	0.6925798992
361	0.6922428142
362	0.6918173423
363	0.6915408643
364	0.6912135812
365	0.6909316467
366	0.6906464406
367	0.6904633657
368	0.6903048723
369	0.6900655204
370	0.6898385552
371	0.689441263
372	0.6892560076
373	0.6890487697
374	0.688835473
375	0.6884914064
376	0.6881952207
377	0.6879033986
378	0.687696447
379	0.6874554917
380	0.6872332797
381	0.6870568158
382	0.6865064201
383	0.6861997144
384	0.6859892648
385	0.685664867
386	0.6854355289
387	0.6852565898
388	0.6851305062
389	0.6850549337
390	0.6846791488
391	0.6844097412
392	0.6842508075
393	0.6839831774
394	0.6837034869
395	0.6834684696
396	0.68325411
397	0.6829152325
398	0.6824799145
399	0.6822602594
400	0.6821396029
401	0.6818808728
402	0.6812525831
403	0.680854473
404	0.680745051
405	0.6806507813
406	0.6802545551
407	0.6800946463
408	0.6798360117
409	0.6797384812
410	0.6795181431
411	0.6792493194
412	0.6790590393
413	0.67872516
414	0.6783706359
415	0.6781506802
416	0.6779991209
417	0.6775642233
418	0.6772393474
419	0.6770502929
420	0.6767910653
421	0.6765639729
422	0.6761918206
423	0.6760407292
424	0.6759685478
425	0.675789841
426	0.6755102546
427	0.67520504
428	0.6746160502
429	0.6744515226
430	0.674176858
431	0.6738968224
432	0.673706451
433	0.6733541314
434	0.6732049212
435	0.673088948
436	0.6727590933
437	0.6726173634
438	0.6723435671
439	0.6719454513
440	0.6716030434
441	0.6714170114
442	0.6711792961
443	0.6705733823
444	0.6702222483
445	0.6698670773
446	0.6696213292
447	0.6695123057
448	0.6692680442
449	0.6691401909
450	0.6690695695
451	0.668912119
452	0.6686901614
453	0.6685657919
454	0.6683952455
455	0.6681886826
456	0.6680536001
457	0.667689661
458	0.6675480749
459	0.6672439184
460	0.6670043505
461	0.6668638712
462	0.6665985915
463	0.6664044673
464	0.6662558793
465	0.6658254744
466	0.6653788392
467	0.6651139518
468	0.664966966
469	0.6648193334
470	0.6647028006
471	0.6645105398
472	0.664321135
473	0.6641040808
474	0.6639309842
475	0.6638180324
476	0.6635994936
477	0.6633097623
478	0.6629534683
479	0.6627033216
480	0.6625919013
481	0.6625307042
482	0.6624326109
483	0.6622612713
484	0.6621423712
485	0.6618835825
486	0.6616880133
487	0.6614678123
488	0.661387963
489	0.6611028276
490	0.6605104025
491	0.6602385878
492	0.6601090444
493	0.6599414068
494	0.6597929304
495	0.6595892307
496	0.6594779931
497	0.6593757599
498	0.6592554011
499	0.6591380544
500	0.6590039828
501	0.6588483795
502	0.6585586479
503	0.6578791702
504	0.6577535814
505	0.657454427
506	0.6573109672
507	0.6571967751
508	0.6569331026
509	0.6567402417
510	0.6566698802
511	0.6559773363
512	0.6558125428
513	0.6555654071
514	0.6553450589
515	0.6552553639
516	0.6551661055
517	0.6550145896
518	0.6548956321
519	0.6545830906
520	0.6544181352
521	0.654223775
522	0.6537038225
523	0.6534912012
524	0.6533011145
525	0.6531587578
526	0.6528283289
527	0.6526760417
528	0.6525787968
529	0.6522656843
530	0.6520828038
531	0.6515716505
532	0.6513552324
533	0.6511890931
534	0.6509640035
535	0.6506603749
536	0.6505795099
537	0.6504062152
538	0.6502539013
539	0.6501023409
540	0.6499153686
541	0.64975247
542	0.6494642257
543	0.6492702129
544	0.6490389576
545	0.6488874124
546	0.6487735224
547	0.6486541229
548	0.6483988266
549	0.6482791518
550	0.6482024656
551	0.6478740872
552	0.6476554122
553	0.6475053297
554	0.6473551186
555	0.6470782948
556	0.6469027155
557	0.6466942557
558	0.6464034932
559	0.6463244271
560	0.6460346142
561	0.6458729006
562	0.6457763971
563	0.6456204115
564	0.6451855265
565	0.6451255434
566	0.6449115264
567	0.6447595023
568	0.64450392
569	0.6443578601
570	0.6441217504
571	0.6438909954
572	0.6437569052
573	0.6435865061
574	0.6434792364
575	0.6432861326
576	0.6431527326
577	0.6429930856
578	0.6427263888
579	0.642528928
580	0.6423631113
581	0.6422660595
582	0.6420731937
583	0.64179589
584	0.6416126856
585	0.641404835
586	0.641194515
587	0.6409591679
588	0.6408640055
589	0.6403267409
590	0.6401352089
591	0.6400008821
592	0.6393633753
593	0.6390530739
594	0.6389307871
595	0.6388190539
596	0.6387457828
597	0.6384630898
598	0.6382818288
599	0.6381679269
600	0.6379165845
601	0.6377677723
602	0.6376538522
603	0.6375163218
604	0.6372372377
605	0.6369825571
606	0.6368214601
607	0.6367002754
608	0.6365501907
609	0.6363948496
610	0.6361573128
611	0.6360061077
612	0.6357721151
613	0.6356229774
614	0.6355332908
615	0.6354385855
616	0.6350222622
617	0.634765114
618	0.6346241263
619	0.6344369934
620	0.6341597891
621	0.6340051797
622	0.6335842942
623	0.6333794438
624	0.6332837782
625	0.6331440398
626	0.6330901929
627	0.6329354949
628	0.6327815721
629	0.632666362
630	0.6325762272
631	0.6319547391
632	0.6317692921
633	0.631616943
634	0.6315061825
635	0.6311923853
636	0.6309286363
637	0.6307306489
638	0.6306572514
639	0.6304215622
640	0.6302335442
641	0.6300927985
642	0.6299397981
643	0.6296352736
644	0.6295398623
645	0.6294278877
646	0.6292104887
647	0.6291129956
648	0.6289124039
649	0.6286300731
650	0.628389355
651	0.6283086613
652	0.6280995496
653	0.6280219976
654	0.6278761782
655	0.6277706154
656	0.6274234441
657	0.6272672459
658	0.6271495668
659	0.6270686623
660	0.6269499554
661	0.6267928576
662	0.6264911105
663	0.6263224223
664	0.6261941189
665	0.6260036149
666	0.6258991848
667	0.6257814194
668	0.6256846246
669	0.6256235454
670	0.6254951908
671	0.6253451024
672	0.62487754
673	0.624645799
674	0.6245661539
675	0.6242806075
676	0.6241518253
677	0.6239652845
678	0.6237849708
679	0.623556907
680	0.6234560992
681	0.6233435449
682	0.6232973144
683	0.6230727059
684	0.6229025823
685	0.6228405389
686	0.6226937203
687	0.6223777601
688	0.6222827364
689	0.622139687
690	0.6220318551
691	0.6219616237
692	0.6217287111
693	0.6214945124
694	0.6213496607
695	0.6211267485
696	0.6210060411
697	0.6208766777
698	0.620771428
699	0.6206018814
700	0.6204301879
701	0.6203074808
702	0.6201367719
703	0.6200117078
704	0.619753206
705	0.6196267223
706	0.6195738923
707	0.6193534023
708	0.6190298349
709	0.6187797071
710	0.6187109431
711	0.6186409688
712	0.6185761529
713	0.6183110794
714	0.618261443
715	0.6179504377
716	0.6174976597
717	0.6174191869
718	0.6172033611
719	0.617054409
720	0.616906595
721	0.6166935154
722	0.6165989737
723	0.6164002822
724	0.6162061148
725	0.6159870901
726	0.6159398835
727	0.6158468838
728	0.6156136732
729	0.6155483153
730	0.6152379356
731	0.6150889263
732	0.6149703442
733	0.6148617017
734	0.6146285754
735	0.6143662435
736	0.6142556781
737	0.6141127287
738	0.6139858127
739	0.6138808438
740	0.6137517171
741	0.6135889073
742	0.6134375337
743	0.6133893393
744	0.6132244518
745	0.6129999532
746	0.6128807249
747	0.6126820656
748	0.6124774059
749	0.6123528778
750	0.6122124608
751	0.6120873957
752	0.6119654176
753	0.6117675075
754	0.6116882045
755	0.6115341946
756	0.6114677184
757	0.6113948729
758	0.6112369105
759	0.6110999169
760	0.6109802879
761	0.6107193329
762	0.6105932056
763	0.6105534407
764	0.6104811131
765	0.6104061486
766	0.6102888264
767	0.6101904412
768	0.61013942
769	0.6100399017
770	0.6099229991
771	0.6098247187
772	0.6096799827
773	0.6096322145
774	0.6094736687
775	0.6092207607
776	0.6090660249
777	0.6089698282
778	0.6088875489
779	0.6087862319
780	0.6086850616
781	0.6086045226
782	0.6084679075
783	0.6083609648
784	0.6083033495
785	0.6081992006
786	0.6080862657
787	0.6080330802
788	0.6079227744
789	0.6078067441
790	0.6076456326
791	0.6075613109
792	0.6074843722
793	0.6073558491
794	0.607187699
795	0.6069031768
796	0.6067597472
797	0.6063483452
798	0.6062593824
799	0.606200811
800	0.6060728605
801	0.6059408895
802	0.6058783346
803	0.6056473931
804	0.6054693819
805	0.6052921678
806	0.6051956326
807	0.6049695719
808	0.6048219985
809	0.6046470422
810	0.6045497737
811	0.6044472338
812	0.604401882
813	0.6042888052
814	0.6041940744
815	0.6041194716
816	0.6040100769
817	0.6038327271
818	0.6036997685
819	0.6035898222
820	0.6034939396
821	0.6034483183
822	0.6033747721
823	0.6032840408
824	0.6032548107
825	0.6031000013
826	0.6028964175
827	0.6027540189
828	0.6025621895
829	0.6024089971
830	0.602360939
831	0.602184851
832	0.6020724665
833	0.6019165569
834	0.6018388748
835	0.6017616452
836	0.6016719788
837	0.6013922006
838	0.6013060517
839	0.6011329989
840	0.6009685807
841	0.6009237412
842	0.6008499778
843	0.6007990692
844	0.6005822119
845	0.6004246531
846	0.6002117119
847	0.6000679252
848	0.5999536402
849	0.599627898
850	0.5994222598
851	0.5993839505
852	0.599278839
853	0.5992414469
854	0.5991227401
855	0.5989559217
856	0.5987917434
857	0.5986202075
858	0.5984950096
859	0.5983773484
860	0.5981611535
861	0.5980238026
862	0.5978556171
863	0.5977134897
864	0.5976192962
865	0.5974880762
866	0.5973786895
867	0.5972671804
868	0.597173608
869	0.597090492
870	0.5969691447
871	0.596781409
872	0.5967145954
873	0.5966641235
874	0.5965009581
875	0.5964311339
876	0.5963402991
877	0.5962200239
878	0.5961279493
879	0.5960509105
880	0.595902337
881	0.5957846422
882	0.5956902086
883	0.5956118085
884	0.595488188
885	0.5952889446
886	0.5952486127
887	0.5951627166
888	0.5949964255
889	0.5949518981
890	0.5948078502
891	0.5946234739
892	0.5945719792
893	0.5944020595
894	0.5942313477
895	0.5941080326
896	0.5939931621
897	0.5938977269
898	0.5936893036
899	0.593612673
900	0.5935576924
901	0.5933519487
902	0.593245427
903	0.5931050669
904	0.5930221328
905	0.5929216146
906	0.5928410005
907	0.5927902252
908	0.5927456599
909	0.5926165022
910	0.5924173207
911	0.5923457503
912	0.5922413115
913	0.5919615159
914	0.5918676487
915	0.5917490591
916	0.5915952018
917	0.5915253351
918	0.591457611
919	0.591401302
920	0.5913021054
921	0.5912342573
922	0.591058637
923	0.5909611047
924	0.5908818114
925	0.5907180852
926	0.5906313628
927	0.590499869
928	0.5903798521
929	0.5902752081
930	0.5902320376
931	0.590136226
932	0.590023112
933	0.5899393343
934	0.5898990959
935	0.5897739541
936	0.5896386343
937	0.589530309
938	0.5894704568
939	0.5892995165
940	0.5892474965
941	0.5890798591
942	0.588966265
943	0.5888198748
944	0.5886891968
945	0.588553767
946	0.5884584578
947	0.5883863398
948	0.5882706568
949	0.5881315368
950	0.5879574592
951	0.5878217976
952	0.5877233705
953	0.5875479979
954	0.5874280436
955	0.5873010593
956	0.5871952892
957	0.5871285525
958	0.5870264239
959	0.5869180994
960	0.5867805152
961	0.5867298342
962	0.5866097867
963	0.5865566139
964	0.5863033484
965	0.5862022525
966	0.5860807238
967	0.5860376314
968	0.5859230831
969	0.585867771
970	0.5858139698
971	0.5856970921
972	0.5855227471
973	0.58531974
974	0.585246171
975	0.584731045
976	0.584671513
977	0.5846049504
978	0.5845451932
979	0.5844683205
980	0.5842558187
981	0.5841629628
982	0.584025952
983	0.5839053991
984	0.5836998211
985	0.5836079514
986	0.5834449265
987	0.5833470099
988	0.5831599624
989	0.5830609999
990	0.5829034503
991	0.5828268119
992	0.5826622493
993	0.5826318325
994	0.5825203783
995	0.5823506552
996	0.5822162108
997	0.5820954113
998	0.5819882222
999	0.5817605721
